Team,Down & Distance,Run %,Pass %,Total Runs,Total Passes,Total Plays
JAX,4th & Short (1-3),44% (8/18),56% (10/18),8,10,18
KC,1st & 10+,44% (192/438),56% (246/438),192,246,438
KC,1st & < 10,47% (16/34),53% (18/34),16,18,34
KC,2nd & Long (7+),18% (41/224),82% (183/224),41,183,224
KC,2nd & Medium (4-6),39% (30/76),61% (46/76),30,46,76
KC,2nd & Short (1-3),61% (28/46),39% (18/46),28,18,46
KC,3rd & Long (7+),0% (0/107),100% (107/107),0,107,107
KC,3rd & Medium (4-6),6% (2/36),94% (34/36),2,34,36
KC,3rd & Short (1-3),35% (26/74),65% (48/74),26,48,74
KC,4th & Long (7+),0% (0/6),100% (6/6),0,6,6
KC,4th & Medium (4-6),33% (1/3),67% (2/3),1,2,3
KC,4th & Short (1-3),30% (3/10),70% (7/10),3,7,10
LA,1st & 10+,52% (230/445),48% (215/445),230,215,445
LA,1st & < 10,73% (24/33),27% (9/33),24,9,33
LA,2nd & Long (7+),28% (56/200),72% (144/200),56,144,200
LA,2nd & Medium (4-6),45% (46/102),55% (56/102),46,56,102
LA,2nd & Short (1-3),62% (37/60),38% (23/60),37,23,60
LA,3rd & Long (7+),14% (14/97),86% (83/97),14,83,97
LA,3rd & Medium (4-6),8% (5/60),92% (55/60),5,55,60
LA,3rd & Short (1-3),48% (32/67),52% (35/67),32,35,67
LA,4th & Long (7+),0% (0/1),100% (1/1),0,1,1
LA,4th & Medium (4-6),0% (0/2),100% (2/2),0,2,2
LA,4th & Short (1-3),33% (6/18),67% (12/18),6,12,18
LAC,1st & 10+,44% (189/430),56% (241/430),189,241,430
LAC,1st & < 10,52% (16/31),48% (15/31),16,15,31
LAC,2nd & Long (7+),21% (47/220),79% (173/220),47,173,220
LAC,2nd & Medium (4-6),49% (42/86),51% (44/86),42,44,86
LAC,2nd & Short (1-3),58% (35/60),42% (25/60),35,25,60
LAC,3rd & Long (7+),4% (4/103),96% (99/103),4,99,103
LAC,3rd & Medium (4-6),5% (3/56),95% (53/56),3,53,56
LAC,3rd & Short (1-3),44% (34/77),56% (43/77),34,43,77
LAC,4th & Long (7+),0% (0/5),100% (5/5),0,5,5
LAC,4th & Medium (4-6),0% (0/6),100% (6/6),0,6,6
LAC,4th & Short (1-3),52% (11/21),48% (10/21),11,10,21
LV,1st & 10+,47% (191/403),53% (212/403),191,212,403
LV,1st & < 10,74% (17/23),26% (6/23),17,6,23
LV,2nd & Long (7+),27% (51/192),73% (141/192),51,141,192
LV,2nd & Medium (4-6),52% (47/91),48% (44/91),47,44,91
LV,2nd & Short (1-3),73% (35/48),27% (13/48),35,13,48
LV,3rd & Long (7+),5% (4/76),95% (72/76),4,72,76
LV,3rd & Medium (4-6),7% (5/72),93% (67/72),5,67,72
LV,3rd & Short (1-3),48% (31/65),52% (34/65),31,34,65
LV,4th & Long (7+),0% (0/5),100% (5/5),0,5,5
LV,4th & Medium (4-6),20% (1/5),80% (4/5),1,4,5
LV,4th & Short (1-3),54% (7/13),46% (6/13),7,6,13
MIA,1st & 10+,55% (239/431),45% (192/431),239,192,431
